N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"70,400","1,100",-1.54%,100,"4,202,727","5,969,783",51.26,"12,538,198",14.82,9.99
2,SK하이닉스,"105,500","2,000",-1.86%,"5,000","768,042","728,002",47.22,"3,039,887",13.2,9.53
3,NAVER,"402,500","7,500",-1.83%,100,"661,160","164,263",56.63,"365,674",4.01,15.22
4,삼성바이오로직스,"874,000",0,0.00%,"2,500","578,282","66,165",10.59,"37,785",172.73,N/A
5,카카오,"124,500","3,500",-2.73%,100,"554,475","445,361",30.47,"2,894,313",116.03,2.7
6,LG화학,"784,000","47,000",-5.66%,"5,000","553,444","70,592",47.47,"379,162",21.12,2.93
7,삼성전자우,"66,200",0,0.00%,100,"544,751","822,887",74.35,"1,283,543",13.94,N/A
8,삼성SDI,"732,000","1,000",0.14%,"5,000","503,356","68,765",45.19,"251,954",54.23,4.54
9,현대차,"208,500","1,500",-0.71%,"5,000","445,498","213,668",28.71,"474,675",15.1,2.04
10,기아,"85,000","1,000",-1.16%,"5,000","344,559","405,363",35.14,"891,370",9.92,5.05
11,셀트리온,"210,000","3,500",1.69%,"1,000","289,663","137,935",20.8,"401,751",49.24,16.68
12,카카오뱅크,"59,400","4,700",-7.33%,"5,000","282,210","475,100",4.99,"4,103,498",192.23,5.08
13,POSCO,"300,500","2,500",0.84%,"5,000","261,996","87,187",53.91,"256,787",6.8,3.61
14,카카오페이,"193,000","13,000",7.22%,500,"251,609","130,367",3.6,"11,712,758",-960.2,-17.97
15,현대모비스,"252,500","3,000",-1.17%,"5,000","239,353","94,793",34.75,"170,021",10.83,4.66
16,크래프톤,"472,000","11,500",-2.38%,100,"231,075","48,957",6.29,"135,069",40.64,61.86
17,KB금융,"55,400","1,600",-2.81%,"5,000","230,358","415,808",68.92,"963,478",5.46,8.53
18,SK이노베이션,"243,500","5,000",-2.01%,"5,000","225,154","92,466",24.96,"190,283",-50.45,-13.58
19,SK텔레콤,"309,500",0,0.00%,500,"223,026","72,060",43.91,0,11.75,6.44
20,삼성물산,"116,500",500,-0.43%,100,"217,723","186,887",15.11,"222,521",13.29,3.81
21,LG전자,"122,000","1,000",-0.81%,"5,000","199,650","163,648",30.05,"499,158",14.76,13.23
22,신한지주,"37,850",350,-0.92%,"5,000","195,533","516,600",60.59,"1,304,112",4.9,8.2
23,LG생활건강,"1,231,000","14,000",1.15%,"5,000","192,260","15,618",44.14,"46,663",25.85,17.92
24,SK바이오사이언스,"249,000","16,000",6.87%,500,"190,485","76,500",5.92,"853,909",121.29,13.25
25,SK,"248,500",0,0.00%,200,"174,845","70,360",18.99,"106,113",16.04,1.11
26,LG,"92,400",700,-0.75%,"5,000","145,346","157,301",33.81,"206,014",5.79,7.5
27,한국전력,"22,600",350,-1.53%,"5,000","145,084","641,964",14.73,"974,908",12.17,2.91
28,엔씨소프트,"657,000","14,000",2.18%,500,"144,238","21,954",44.29,"456,396",35.27,20.83
29,삼성생명,"68,000",500,-0.73%,500,"136,000","200,000",12.52,"182,679",7.76,3.53
30,하이브,"346,500","1,500",-0.43%,500,"135,311","39,051",15.93,"263,082",123.27,12.52
31,하나금융지주,"44,200","1,100",-2.43%,"5,000","132,707","300,242",68.2,"922,021",4.36,8.96
32,두산중공업,"24,600",500,-1.99%,"5,000","127,602","518,706",8.84,"11,701,922",-58.43,-37.2
33,삼성에스디에스,"156,000","3,000",-1.89%,500,"120,709","77,378",11.39,"53,697",18.73,6.71
34,삼성전기,"159,500","3,000",-1.85%,"5,000","119,136","74,694",30.74,"404,610",13.9,10.92
35,KT&G,"83,600",300,-0.36%,"5,000","114,777","137,292",36.24,"617,109",10.36,13.22
36,S-Oil,"100,000","2,500",-2.44%,"2,500","112,583","112,583",78.35,"154,241",12.86,-13.07
37,포스코케미칼,"145,000",500,0.35%,500,"112,322","77,463",7.2,"251,531",104.77,2.96
38,삼성화재,"233,500","1,500",-0.64%,500,"110,620","47,375",48.74,"63,580",11.06,4.96
39,아모레퍼시픽,"189,000","1,500",-0.79%,500,"110,551","58,493",31.94,"124,283",87.7,0.78
40,SK아이이테크놀로지,"155,000","7,000",-4.32%,"1,000","110,511","71,298",9.31,"457,993",101.91,11
41,HMM,"26,750",650,-2.37%,"5,000","108,442","405,392",10.73,"3,483,720",16.94,8.93
42,넷마블,"125,500","1,000",-0.79%,100,"107,872","85,954",23.14,"123,794",37.7,6.35
43,대한항공,"30,200",600,-1.95%,"5,000","105,042","347,821",11.68,"1,806,592",15.75,-7.22
44,현대중공업,"116,500",500,0.43%,"5,000","103,421","88,773",1.49,"280,413",-10.53,-7.86
45,우리금융지주,"13,300",150,-1.12%,"5,000","96,832","728,061",29.13,"2,383,706",4.65,5.87
46,고려아연,"512,000",0,0.00%,"5,000","96,614","18,870",18.73,"70,334",13.36,8.37
47,기업은행,"11,050",150,-1.34%,"5,000","82,245","744,301",13.26,"1,079,248",4.64,6.44
48,KT,"30,500",650,-2.09%,"5,000","79,639","261,112",44.11,"571,289",8.71,4.76
49,롯데케미칼,"227,000","2,000",-0.87%,"5,000","77,805","34,275",25.94,"66,524",6.51,1.22
50,한온시스템,"14,550",150,-1.02%,100,"77,668","533,800",17.89,"444,059",26.7,5.09
51,SK바이오팜,"97,800",0,0.00%,500,"76,590","78,313",6.29,"134,602",-129.37,-135.18
52,한화솔루션,"39,100",0,0.00%,"5,000","74,790","191,278",19.26,"1,035,212",9.7,5.3
53,한국조선해양,"102,500","1,000",-0.97%,"5,000","72,542","70,773",19.15,"278,489",-4.68,-7.42
54,LG디스플레이,"20,050",400,2.04%,"5,000","71,742","357,816",15.5,"4,486,625",6.03,-0.79
55,SKC,"175,500","5,000",2.93%,"5,000","66,459","37,868",13.81,"410,978",152.61,2.21
56,F&F,"863,000","24,000",-2.71%,500,"66,118","7,661",12.84,"20,452",N/A,N/A
57,LG유플러스,"14,250",200,-1.38%,"5,000","62,217","436,611",34.15,"747,706",10.75,6.46
58,현대글로비스,"165,000","3,000",-1.79%,500,"61,875","37,500",33.61,"83,290",9.18,12.45
59,현대제철,"43,650",450,-1.02%,"5,000","58,249","133,446",20.79,"434,169",24.12,-2.59
60,CJ제일제당,"386,000","1,500",-0.39%,"5,000","58,109","15,054",23.61,"21,106",13.45,13.5
61,강원랜드,"26,850",800,-2.89%,500,"57,443","213,940",19.21,"1,158,234",-61.02,-7.92
62,현대건설,"51,400",400,-0.77%,"5,000","57,237","111,356",21.37,"316,494",46.39,1.84
63,코웨이,"77,400","2,300",-2.89%,500,"57,121","73,800",59.81,"115,037",13.41,31.51
64,미래에셋증권,"8,750",190,-2.13%,"5,000","55,590","635,316",13.16,"889,155",6.64,8.94
65,맥쿼리인프라,"13,500",50,-0.37%,0,"54,654","404,846",14.05,"1,589,019",N/A,N/A
66,KODEX 200,"38,945",560,-1.42%,0,"52,595","135,050",2.29,"2,875,766",N/A,N/A
67,한국타이어앤테크놀로지,"42,250","1,850",-4.20%,500,"52,337","123,875",41.82,"197,305",8.48,5.12
68,에스디바이오센서,"49,850","2,000",4.18%,500,"51,481","103,271",3.33,"1,048,648",7.56,139.97
69,금호석유,"168,500","1,000",-0.59%,"5,000","51,338","30,468",19.97,"127,850",3.99,20.18
70,LG이노텍,"211,500","3,500",-1.63%,"5,000","50,056","23,667",26.53,"158,710",9.16,10.2
71,현대중공업지주,"62,800",800,-1.26%,"1,000","49,608","78,993",17.27,"144,790",-14.5,-8.12
72,한국금융지주,"87,400",100,0.11%,"5,000","48,705","55,726",35.17,"250,589",4.15,16.27
73,이마트,"170,500",500,0.29%,"5,000","47,528","27,876",33.83,"82,063",8.42,4.05
74,메리츠금융지주,"35,350","1,900",5.68%,500,"47,373","134,011",8.32,"312,646",7.66,16.06
75,삼성엔지니어링,"24,100",500,-2.03%,"5,000","47,236","196,000",32.68,"1,150,324",14.96,17.32
76,오리온,"117,500","2,000",-1.67%,500,"46,455","39,536",39,"71,977",19.27,15.5
77,일진머티리얼즈,"99,100",700,0.71%,500,"45,696","46,111",11.76,"285,140",96.03,7.23
78,유한양행,"61,500",200,-0.32%,"1,000","43,033","69,973",18.12,"93,970",44.73,11.06
79,삼성증권,"47,000",350,-0.74%,"5,000","41,971","89,300",30.03,"259,633",4.59,9.89
80,DB손해보험,"58,300","2,000",-3.32%,500,"41,276","70,800",42.72,"154,790",5.98,9.08
81,아모레G,"50,000","1,000",-1.96%,500,"41,229","82,458",16.41,"118,974",31.85,0.31
82,한국가스공사,"43,550",750,-1.69%,"5,000","40,202","92,313",10.07,"258,314",15.95,-2.24
83,쌍용C&E,"7,970",60,-0.75%,100,"40,158","503,860",3.19,"655,838",25.71,7.92
84,두산밥캣,"39,600","1,800",-4.35%,500,"39,699","100,249",25.86,"401,237",10.42,6.15
85,삼성카드,"34,250",350,-1.01%,"5,000","39,682","115,859",7.97,"103,220",8.66,5.69
86,GS,"42,700",750,-1.73%,"5,000","39,675","92,915",19.32,"134,892",4.86,-2.82
87,한미사이언스,"58,700","1,200",-2.00%,500,"39,508","67,305",1.72,"56,414",129.3,3.47
88,NH투자증권,"12,900",150,-1.15%,"5,000","38,317","297,034",17.75,"596,424",4.59,10.32
89,삼성중공업,"5,990",130,-2.12%,"1,000","37,737","630,000",13.62,"4,938,577",-2.63,-33.06
90,한진칼,"56,300","1,000",-1.75%,"2,500","37,574","66,739",14.69,"62,718",-38.43,-19.55
91,한솔케미칼,"328,500","3,500",1.08%,"5,000","37,236","11,335",42.83,"26,774",26.15,24.5
92,메리츠화재,"30,250","1,000",3.42%,500,"36,489","120,625",10.58,"355,863",6.9,16.91
93,GS건설,"42,450",350,-0.82%,"5,000","36,329","85,581",25.99,"318,393",11.2,7.68
94,현대차2우B,"98,600",400,-0.40%,"5,000","35,975","36,485",60.88,"52,734",7.14,N/A
95,두산퓨얼셀,"54,600",500,0.92%,100,"35,760","65,494",15.63,"1,043,448",910,4.18
96,롯데지주,"33,400",400,-1.18%,200,"35,040","104,909",8.02,"94,537",47.71,-3.03
97,동서,"35,100",100,-0.28%,500,"34,995","99,700",3.22,"81,595",32.38,8.61
98,GS리테일,"32,550",350,-1.06%,"1,000","34,086","104,718",9.48,"143,487",17.86,7.5
99,CJ대한통운,"145,500","3,000",-2.02%,"5,000","33,192","22,812",22.47,"20,122",95.35,3.89
100,한미약품,"273,000","1,000",-0.36%,"2,500","32,974","12,078",13.41,"17,343",142.78,1.65
101,메리츠증권,"4,700",25,-0.53%,"1,000","32,041","681,731",14.11,"752,682",5.01,13.08
102,에스원,"84,300","1,200",-1.40%,500,"32,033","37,999",53.78,"56,634",21.86,10.48
103,호텔신라,"80,900",100,0.12%,"5,000","31,752","39,248",13.44,"538,050",-24.6,-36.74
104,현대오토에버,"115,500",500,-0.43%,500,"31,675","27,424",1.88,"68,839",41.67,11.09
105,팬오션,"5,880",200,-3.29%,"1,000","31,433","534,570",10.8,"5,770,888",18.04,3.25
106,현대미포조선,"77,600","1,400",-1.77%,"5,000","30,995","39,942",10.44,"342,564",-17.06,-0.84
107,녹십자,"261,500","6,500",-2.43%,"5,000","30,560","11,687",20.78,"103,486",32.7,7.48
108,한화시스템,"16,050",350,-2.13%,"5,000","30,322","188,919",2.43,"558,299",17.41,9.35
109,OCI,"127,000",500,0.40%,"5,000","30,289","23,849",20.3,"243,040",104.61,-9.89
110,효성첨단소재,"675,000","7,000",-1.03%,"5,000","30,240","4,480",11.91,"64,207",20.57,0.03
111,롯데쇼핑,"106,000","2,000",-1.85%,"5,000","29,986","28,289",10.79,"65,700",-5.18,-7.7
112,한화생명,"3,445",95,-2.68%,"5,000","29,921","868,530",8.18,"2,752,635",5.46,1.9
113,씨에스윈드,"70,100",400,0.57%,500,"29,562","42,171",11.31,"183,606",49.72,8.19
114,한국항공우주,"29,950",750,-2.44%,"5,000","29,194","97,475",12.6,"523,204",148.27,6.39
115,만도,"62,100",900,-1.43%,"1,000","29,160","46,957",23.32,"303,351",12.3,0.37
116,BGF리테일,"167,000","2,500",1.52%,"1,000","28,864","17,284",32.76,"16,298",20.57,18.6
117,KCC,"320,500","7,500",-2.29%,"5,000","28,481","8,886",14.25,"61,832",3.34,12.79
118,BNK금융지주,"8,650",120,-1.37%,"5,000","28,193","325,935",38.97,"1,508,124",4.17,6.11
119,CJ,"95,300","2,200",-2.26%,"5,000","27,806","29,177",17.7,"95,125",65.14,1.89
120,키움증권,"105,500","1,000",-0.94%,"5,000","27,662","26,220",25.27,"45,597",2.84,27.63
121,LG화학우,"359,500","18,000",-4.77%,"5,000","27,641","7,689",70.45,"27,745",9.68,N/A
122,제일기획,"23,700",400,-1.66%,200,"27,265","115,041",33.18,"249,948",14.58,16.11
123,한전기술,"70,700","3,100",-4.20%,200,"27,022","38,220",3.96,"732,867",130.68,N/A
124,신풍제약,"50,800",500,-0.97%,500,"26,916","52,985",8.53,"627,621",846.67,1.72
125,DL이앤씨,"136,500","2,000",-1.44%,"5,000","26,425","19,359",26.69,"69,692",N/A,N/A
126,대우조선해양,"24,600","1,100",-4.28%,"5,000","26,394","107,291",5.61,"462,550",-1.81,2.27
127,포스코인터내셔널,"21,100",350,-1.63%,"5,000","26,032","123,375",7.39,"587,615",8.83,7.69
128,DB하이텍,"58,400",200,-0.34%,"5,000","25,929","44,399",16.59,"437,941",15.52,23.07
129,대우건설,"6,110",130,-2.08%,"5,000","25,395","415,623",11.31,"1,425,127",5.56,11.06
130,솔루스첨단소재,"82,700","1,100",1.35%,100,"25,298","30,590",8.31,"176,944",-215.36,-5.1
131,일진하이솔루스,"69,000","1,500",-2.13%,500,"25,056","36,313",4.15,"126,655",128.73,34.27
132,더존비즈온,"81,800","1,700",-2.04%,500,"24,853","30,383",40.66,"131,548",39.86,15.09
133,효성티앤씨,"566,000","19,000",-3.25%,"5,000","24,495","4,328",22.23,"53,443",4.84,25.1
134,한화,"32,250",550,-1.68%,"5,000","24,174","74,959",17.27,"320,737",6.2,4.79
135,하이트진로,"34,050","1,000",-2.85%,"5,000","23,880","70,134",4.71,"421,815",34.08,8.23
136,현대로템,"21,800",500,-2.24%,"5,000","23,793","109,142",3.63,"667,242",70.1,2.84
137,현대차우,"96,900",900,-0.92%,"5,000","23,602","24,357",58.79,"30,604",7.02,N/A
138,롯데정밀화학,"91,400","4,400",5.06%,"5,000","23,581","25,800",21.25,"1,084,230",9.61,12.65
139,신세계,"238,000",500,0.21%,"5,000","23,432","9,845",25.09,"56,927",29.05,-2.81
140,현대해상,"26,150",150,-0.57%,500,"23,378","89,400",27.4,"366,966",6.05,7.13
141,코오롱인더,"85,500","1,400",1.66%,"5,000","23,067","26,979",21.84,"332,103",17.12,9.7
142,한샘,"95,100",900,-0.94%,"1,000","22,381","23,534",19.01,"130,778",26.92,10.83
143,휠라홀딩스,"36,550",450,-1.22%,"1,000","22,205","60,752",47.99,"364,135",9.22,10.94
144,KODEX 단기채권,"102,940",20,0.02%,0,"22,147","21,514",0,"8,352",N/A,N/A
145,KODEX 200선물인버스2X,"2,290",70,3.15%,0,"21,831","953,300",3.98,"175,297,803",N/A,N/A
146,한화에어로스페이스,"43,050","1,000",-2.27%,"5,000","21,796","50,630",17.59,"430,354",8.33,4.78
147,TIGER 차이나전기차SOLACTIVE,"19,315",160,-0.82%,0,"21,726","112,480",0.22,"6,289,959",N/A,N/A
148,SK케미칼,"181,500",0,0.00%,"5,000","21,329","11,751",15.27,"103,145",34.45,30.49
149,TIGER 200,"38,955",570,-1.44%,0,"21,230","54,500",0,"471,117",N/A,N/A
150,현대위아,"78,000","1,500",-1.89%,"5,000","21,212","27,195",6.43,"408,678",20.87,1.96
151,효성,"100,000","1,000",-0.99%,"5,000","21,071","21,071",9.14,"59,886",13.65,-2.26
152,LS,"62,400",400,-0.64%,"5,000","20,093","32,200",14.53,"89,967",8.1,3.94
153,대한전선,"2,280",80,-3.39%,500,"19,528","856,473",2.39,"6,344,665",-120,0.92
154,대웅,"33,400",350,1.06%,500,"19,419","58,142",4.1,"122,232",20.66,15.1
155,현대엘리베이,"47,350",800,-1.66%,"5,000","19,326","40,815",26.96,"121,443",20.06,9.78
156,영원무역,"43,550",50,0.11%,500,"19,298","44,311",27.29,"87,182",10.3,8.03
157,현대백화점,"80,900","2,800",-3.35%,"5,000","18,933","23,402",19.44,"115,536",14.62,1.65
158,한전KPS,"41,600","1,700",-3.93%,200,"18,720","45,000",7.46,"256,347",19.16,8.23
159,후성,"20,200",650,3.32%,500,"18,707","92,607",5.65,"2,570,542",187.04,2.79
160,두산,"110,000","3,000",2.80%,"5,000","18,176","16,524",10.7,"140,804",-180.03,-34.34
161,LS ELECTRIC,"59,300",700,-1.17%,"5,000","17,790","30,000",18.64,"53,521",19.39,6.15
162,KODEX 레버리지,"23,025",700,-2.95%,0,"17,683","76,800",2.15,"22,286,218",N/A,N/A
163,오뚜기,"474,500","8,500",-1.76%,"5,000","17,424","3,672",12.53,"5,320",19.85,7.93
164,농심,"282,000","2,000",-0.70%,"5,000","17,153","6,083",12.72,"12,936",15.48,7.5
165,DGB금융지주,"10,050",400,-3.83%,"5,000","16,999","169,146",50.2,"731,247",3.99,6.93
166,JB금융지주,"8,610",120,-1.37%,"5,000","16,960","196,983",40.76,"638,536",3.74,10.06
167,HDC현대산업개발,"25,550",350,-1.35%,"5,000","16,839","65,907",10.87,"210,197",9.12,8.85
168,대웅제약,"144,500",0,0.00%,"2,500","16,743","11,587",6.94,"27,844",564.45,2.38
169,TIGER 단기통안채,"100,380",10,-0.01%,0,"16,706","16,643",0.73,"1,445",N/A,N/A
170,KODEX 단기채권PLUS,"103,205",10,0.01%,0,"16,704","16,185",0,"606,526",N/A,N/A
171,에스엘,"34,000","1,550",4.78%,500,"16,389","48,203",16.65,"199,324",10.76,4.74
172,KODEX 삼성그룹,"9,790",90,-0.91%,0,"16,388","167,400",0.36,"163,535",N/A,N/A
173,동국제강,"17,050",250,-1.45%,"5,000","16,271","95,433",23.35,"311,050",5.55,3.35
174,한국앤컴퍼니,"17,100",250,-1.44%,500,"16,234","94,935",9.99,"72,531",6.55,5.08
175,아시아나항공,"21,750",650,-2.90%,"5,000","16,185","74,412",8.23,"741,308",-23.64,-43.83
176,NHN,"80,800","1,700",-2.06%,500,"15,809","19,565",12.42,"199,721",72.14,1.35
177,TIGER 미국나스닥100,"84,400",810,0.97%,0,"15,530","18,400",0.01,"126,420",N/A,N/A
178,금호타이어,"5,380",130,-2.36%,"5,000","15,455","287,260",4.13,"355,739",72.7,-6.74
179,한미반도체,"31,000",650,-2.05%,200,"15,333","49,460",5.67,"198,641",20.67,21.03
180,KODEX MSCI Korea TR,"12,465",160,-1.27%,0,"15,332","123,000",0.07,"342,759",N/A,N/A
181,명신산업,"29,200",250,-0.85%,500,"15,321","52,470",2.61,"362,796",-12.66,-67.39
182,동원시스템즈,"52,200",500,-0.95%,"5,000","15,236","29,188",13.53,"33,745",24.81,10.97
183,한일시멘트,"21,900","1,900",9.50%,500,"15,168","69,262",2.66,"4,259,085",12.59,N/A
184,KODEX 종합채권(AA-이상)액티브,"106,870",145,0.14%,0,"14,927","13,967",0,"5,231",N/A,N/A
185,롯데렌탈,"40,250",800,2.03%,"5,000","14,745","36,634",1.14,"145,822",20.55,6.73
186,F&F홀딩스,"37,250","1,400",-3.62%,500,"14,570","39,114",0.91,"111,462",0.28,16.59
187,프레스티지바이오파마,"23,850",200,-0.83%,0,"14,333","60,096",63.37,"165,531",-167.96,-1.78
188,아이에스동서,"46,100",650,-1.39%,500,"14,241","30,893",4.52,"32,132",13.15,10.92
189,종근당,"123,500","1,500",1.23%,"2,500","14,111","11,426",7.92,"41,880",16.58,17.88
190,코스맥스,"123,500","3,000",-2.37%,500,"14,017","11,350",24.08,"29,662",28.61,6.23
191,녹십자홀딩스,"29,650",300,-1.00%,500,"13,944","47,028",5.49,"72,797",9.15,19.74
192,DL,"66,400","1,600",-2.35%,"5,000","13,915","20,956",13.36,"76,552",2.14,11.84
193,TIGER TOP10,"13,350",215,-1.58%,0,"13,897","104,100",0.21,"275,215",N/A,N/A
194,롯데리츠,"5,650",40,-0.70%,500,"13,728","242,969",9.9,"244,783",71.52,1.68
195,롯데관광개발,"19,500",450,-2.26%,500,"13,509","69,276",6.41,"441,124",-8.64,-30.43
196,PI첨단소재,"45,950","1,050",-2.23%,500,"13,494","29,366",17.17,"146,638",24.72,15.62
197,솔루엠,"26,750",150,-0.56%,500,"13,376","50,006",8.64,"300,203",49.81,43.26
198,LG생활건강우,"628,000","4,000",0.64%,"5,000","13,186","2,100",84.22,"1,933",13.19,N/A
199,롯데칠성,"142,000","3,000",-2.07%,500,"13,176","9,279",8.35,"24,249",57.84,-1
200,TIGER 2차전지테마,"22,390",75,0.34%,0,"13,154","58,750",0.96,"1,515,032",N/A,N/A
